,Code,First_name,Last_name,Team,Nation,Position,Rating
273,thompna01,Nate,Thompson,TOT,US,C,0.7197863704544838
274,tikhovi01,Viktor,Tikhonov,TOT,RU,RW,0.6900406142151025
275,voracja01,Jakub,Voracek,PHI,CS,RW,0.8972145464865098
276,wardjo02,Joel,Ward,SJS,CA,RW,0.7706030444759532
277,weberya01,Yannick,Weber,NSH,CH,D,0.6802036891501824
278,wheelbl01,Blake,Wheeler,WPG,US,RW,0.9247897458317396
279,bennja01,Jamie,Benn,DAL,CA,LW,0.9176429555273524
280,bodnaan01,Andrew,Bodnarchuk,TOT,CA,D,0.6757943865272964
281,boninni01,Nick,Bonino,NSH,US,C,0.8139922694522851
282,bozakty01,Tyler,Bozak,TOR,CA,C,0.8376567920384363
283,carlsjo01,John,Carlson,WSH,US,D,0.8881814012067067
284,cluneri01,Rich,Clune,TOR,CA,LW,0.7737003388423337
285,coutulo01,Logan,Couture,SJS,CA,C,0.8795976119341543
286,cowenja01,Jared,Cowen,OTT,CA,D,0.7365238649394003
287,dadonev01,Evgeni,Dadonov,FLA,RU,RW,0.9090186927333774
288,delzomi01,Michael,Del Zotto,VAN,CA,D,0.8094132569011422
289,demerja01,Jason,Demers,ARI,CA,D,0.8103961869924386
290,deshada01,David,Desharnais,NYR,CA,C,0.7584441575328449
291,duchema01,Matt,Duchene,TOT,CA,C,0.8626820615377722
292,ellerla01,Lars,Eller,WSH,DK,C,0.790138506755376
293,engelde01,Deryk,Engelland,VEG,CA,D,0.7780977674296661
294,ennisty01,Tyler,Ennis,MIN,CA,C,0.761682978038539
295,falkju01,Justin,Falk,BUF,CA,D,0.7247503279208201
296,fransco01,Cody,Franson,CHI,CA,D,0.7796140554296354
297,grabnmi01,Michael,Grabner,TOT,AT,RW,0.7993902741264357
298,gunnaca01,Carl,Gunnarsson,STL,SE,D,0.7328926337719961
299,haleymi01,Micheal,Haley,FLA,CA,C,0.6836448682470415
300,hedmavi01,Victor,Hedman,TBL,SE,D,0.9111342574817725
301,kadrina01,Nazem,Kadri,TOR,CA,C,0.8710452218073229
302,kaneev01,Evander,Kane,TOT,CA,LW,0.8650487147924883
303,karlser01,Erik,Karlsson,OTT,SE,D,0.9266466805550634
304,kindlja01,Jakub,Kindl,FLA,CS,D,0.714332037172875
305,kulikdm01,Dmitry,Kulikov,WPG,RU,D,0.7428211990733322
306,larseph01,Philip,Larsen,VAN,DK,D,0.7168583469126695
307,letesma01,Mark,Letestu,TOT,CA,C,0.7819001174172542
308,marchbr03,Brad,Marchand,BOS,CA,LW,0.9335788304707483
309,martima02,Matt,Martin,TOR,CA,LW,0.7550718936417866
310,martial01,Alec,Martinez,LAK,US,D,0.8367264346157784
311,mcbaija02,Jamie,McBain,LAK,US,D,0.7279692695671685
312,mcquaad01,Adam,McQuaid,BOS,CA,D,0.7453917025222655
313,myersty01,Tyler,Myers,WPG,US,D,0.8324244261041822
314,oreilry01,Ryan,O'Reilly,BUF,CA,C,0.9073541079623958
315,parenpi01,P.A.,Parenteau,TOT,CA,LW,0.8025050947783874
316,perrema01,Mathieu,Perreault,WPG,CA,C,0.8611353897058569
317,prossna01,Nate,Prosser,TOT,US,D,0.7226524044524439
318,pyattto01,Tom,Pyatt,OTT,CA,C,0.7566244174172834
319,schenbr01,Brayden,Schenn,STL,CA,C,0.8844919079761632
320,spalini01,Nick,Spaling,TOT,CA,C,0.751243533020044
321,stalbvi01,Viktor,Stalberg,TOT,SE,LW,0.7468531888071995
322,stonecl01,Clayton,Stoner,ANA,CA,D,0.7760507740954059
323,subbapk01,P.K.,Subban,NSH,CA,D,0.896135050586838
324,tavarjo01,John,Tavares,NYI,CA,C,0.9009760291502216
325,vanrija01,James,van Riemsdyk,TOR,US,LW,0.85167764598485
326,whitery01,Ryan,White,TOT,CA,C,0.7485729212382934
327,wilsoco01,Colin,Wilson,COL,US,C,0.7799534663085976
328,bartkma01,Matt,Bartkowski,CGY,US,D,0.7008568800655881
329,boumala01,Lance,Bouma,CHI,CA,C,0.7441572924410044
330,braunju01,Justin,Braun,SJS,US,D,0.8291048281962743
331,broditj01,T.J.,Brodie,CGY,CA,D,0.8418486180028354
332,burmial01,Alexander,Burmistrov,VAN,RU,C,0.7258223388253187
333,byronpa01,Paul,Byron,MTL,CA,C,0.8216612449406965
334,calvema01,Matt,Calvert,CBJ,CA,LW,0.7748024150286709
335,cliffky01,Kyle,Clifford,LAK,CA,LW,0.7475368535761319
336,colbojo01,Joe,Colborne,COL,CA,C,0.7386253899354323
337,coleia01,Ian,Cole,TOT,US,D,0.80328231118962
338,condrer01,Erik,Condra,TBL,US,RW,0.6731570115981751
339,crackad01,Adam,Cracknell,DAL,CA,RW,0.7346439511270351
340,dalpeza01,Zac,Dalpe,CBJ,CA,RW,0.6153385278670206
341,desjaan01,Andrew,Desjardins,CHI,CA,C,0.7230657497827466
342,eberljo01,Jordan,Eberle,NYI,CA,RW,0.8615197755955919
343,ekmanol01,Oliver,Ekman-Larsson,ARI,SE,D,0.8630380811594911
344,faynema01,Mark,Fayne,EDM,US,D,0.7233060011064844
345,fowleca01,Cam,Fowler,ANA,CA,D,0.8493020502536044
346,gauncca01,Cameron,Gaunce,PIT,CA,D,0.7724440900102979
347,giontst01,Stephen,Gionta,NYI,US,C,0.7156426749663367
348,greenco01,Colin,Greening,TOT,CA,C,0.832817013633901
349,hallta02,Taylor,Hall,NJD,CA,LW,0.9133566007042009
350,hamontr01,Travis,Hamonic,CGY,CA,D,0.7745743024854786
351,henriad01,Adam,Henrique,TOT,CA,C,0.8412215451420164
352,hodgsco01,Cody,Hodgson,NSH,CA,C,0.7380976809954465
353,holdeni01,Nick,Holden,TOT,CA,D,0.8036149830386083
354,holzeko01,Korbinian,Holzer,ANA,DE,D,0.6886743647852795
355,johanma03,Marcus,Johansson,NJD,SE,C,0.8264404857059864
356,josefja01,Jacob,Josefson,BUF,SE,C,0.7114479169462582
357,kampfst01,Steven,Kampfer,NYR,US,D,0.7138895863112589
358,kingdw01,Dwight,King,TOT,CA,LW,0.7441224467797758
359,klinkro01,Rob,Klinkhammer,EDM,CA,LW,0.6758907658985672
360,krugema01,Marcus,Kruger,CAR,SE,C,0.7599571219097114
361,leddyni01,Nick,Leddy,NYI,US,D,0.83989372413351
362,mashibr01,Brandon,Mashinter,CHI,CA,LW,0.6798509315848227
363,mcdonry01,Ryan,McDonagh,TOT,US,D,0.8613977346993416
364,moorejo01,John,Moore,NJD,US,D,0.770424083673124
365,muzzija01,Jake,Muzzin,LAK,CA,D,0.8664102389080144
366,niedeni01,Nino,Niederreiter,MIN,CH,RW,0.847722104050304
367,nikitni01,Nikita,Nikitin,EDM,RU,D,0.6844982846448318
368,paajama01,Magnus,Paajarvi,TOT,SE,LW,0.7541379911977206
