,Code,First_name,Last_name,Team,Nation,Position,Rating
315,girarsa01,Samuel,Girard,TOT,CA,D,0.7557747535548215
316,girgeze01,Zemgus,Girgensons,BUF,LV,C,0.7353560698813199
317,giroucl01,Claude,Giroux,PHI,CA,C,0.9216216546447042
318,glassta01,Tanner,Glass,CGY,CA,LW,0.6957021057208395
319,glendlu01,Luke,Glendening,DET,US,C,0.7651506074760016
320,goldoni01,Nikolay,Goldobin,VAN,RU,LW,0.6972801613552204
321,goligal01,Alex,Goligoski,ARI,US,D,0.8329352108722392
322,golouco01,Cody,Goloubef,COL,CA,D,0.7175661092397765
323,gomezsc01,Scott,Gomez,TOT,US,C,0.6700046245202051
324,goodrba01,Barclay,Goodrow,SJS,CA,RW,0.7490148522363861
325,gordobo01,Boyd,Gordon,PHI,CA,C,0.6379514436006596
326,gorgejo01,Josh,Gorges,BUF,CA,D,0.7272784514073116
327,gormlbr01,Brandon,Gormley,COL,CA,D,0.634443716382739
328,gostish01,Shayne,Gostisbehere,PHI,US,D,0.8669023125618879
329,gourdya01,Yanni,Gourde,TBL,CA,C,0.858227936415703
330,grabnmi01,Michael,Grabner,TOT,AT,RW,0.7916302661420054
331,grabomi01,Mikhail,Grabovski,NYI,DE,C,0.788316739562336
332,granbpe01,Petter,Granberg,NSH,SE,D,0.6685306934015124
333,granlma01,Markus,Granlund,VAN,FI,C,0.7467824876274248
334,granlmi01,Mikael,Granlund,MIN,FI,C,0.8919223380909251
335,grantde01,Derek,Grant,ANA,CA,C,0.71223667497602
336,graovty01,Tyler,Graovac,MIN,CA,C,0.652312359084468
337,graveke01,Kevin,Gravel,LAK,US,D,0.7202132833478689
338,greenan01,Andy,Greene,NJD,US,D,0.7658341387377915
339,greenco01,Colin,Greening,TOT,CA,C,0.8293715464430856
340,greenma01,Matt,Greene,LAK,US,D,0.7113345788094638
341,greenmi03,Mike,Green,DET,CA,D,0.8311761416468774
342,greeraj01,A.J.,Greer,COL,CA,LW,0.6593893758473253
343,griffse01,Seth,Griffith,BUF,CA,C,0.6783848528388323
344,grigomi01,Mikhail,Grigorenko,COL,RU,C,0.7340482453021364
345,grimaro01,Rocco,Grimaldi,FLA,US,C,0.7062777237215347
346,grossni01,Nicklas,Grossmann,ARI,SE,D,0.7163387608653575
347,grybaer01,Eric,Gryba,EDM,CA,D,0.746863800334528
348,grzelma01,Matt,Grzelcyk,BOS,US,D,0.7787364023065484
349,gudasra01,Radko,Gudas,PHI,CS,D,0.8151737969881501
350,gudbrer01,Erik,Gudbranson,VAN,CA,D,0.7319330446907163
351,guenina01,Nate,Guenin,COL,US,D,0.6114172200750533
352,guentja01,Jake,Guentzel,PIT,US,C,0.8596182101709666
353,guhlebr01,Brendan,Guhle,BUF,CA,D,0.7601613637920712
354,gunnaca01,Carl,Gunnarsson,STL,SE,D,0.7171211334088521
355,gustaer02,Erik,Gustafsson,CHI,SE,D,0.8133837860865744
356,hagelca01,Carl,Hagelin,PIT,SE,LW,0.808992453707204
357,haggro01,Robert,Hagg,PHI,SE,D,0.7493022810763391
358,hainsro01,Ron,Hainsey,TOR,US,D,0.7865391986570762
359,haleymi01,Micheal,Haley,FLA,CA,C,0.6711763118621629
360,halisma01,Matt,Halischuk,WPG,CA,RW,0.6731735923209534
